config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_early_t0,0,tuning,early,0,,5000,1686,normal,1→35,1,35,597.0,0.45526833389885724,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,adaptive_disabled,0,246,6852,0,0,0,0.0,{},0.001078624976798892,0.0858967446256429,0.00939099001698196,0.021031875163316727,0.07606686954386532,0.32264824165031314,0.03422518074512482,0.00021754181943833828,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_middle_t27,0,tuning,middle,27,,2,2,critical,63→63,63,63,827.0,0.034445791970938444,False,191,124,970,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,27,779,0,0,0,0.0,{},8.33394005894661e-06,0.007942834636196494,0.000838875537738204,5.820789374411106e-05,0.008817332796752453,0.022930247243493795,0.002498961053788662,0.00013270904310047626,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_late_t49,0,tuning,late,49,,78,23,normal,11→28,11,28,999995.0,0.09604933299124241,False,462,205,3810,23,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,3348,0,0,0,0.0,{},2.0416919142007828e-05,0.034364830469712615,0.003631663043051958,0.00022337515838444233,0.038113830145448446,0.04917191015556455,0.008471967885270715,4.7832727432250977e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,,2,2,critical,35→32,35,32,597.0,0.16850108304060996,False,720,521,4069,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,142,3346,0,0,0,0.0,{},6.00004568696022e-06,0.03136284928768873,0.004186916397884488,4.900014027953148e-05,0.03603737521916628,0.1195829096250236,0.012687215115875006,0.0001385828945785761,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,,44,26,normal,28→60,28,60,797.0,0.345130082918331,False,1204,809,7698,26,8,8,1.0,5,5,5,False,adaptive_disabled,0,277,6493,0,0,0,0.0,{},1.845788210630417e-05,0.060940450290217996,0.009555642493069172,0.00035433308221399784,0.07159891165792942,0.25411234027706087,0.018990664975717664,5.537504330277443e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_early_t0,1,tuning,early,0,,5000,1678,normal,13→35,13,35,758.5,0.24115116614848375,False,774,557,5346,1678,8,8,1.0,5,5,5,False,adaptive_disabled,0,121,4506,0,0,0,0.0,{},0.0005206670612096786,0.04968805029056966,0.00601562624797225,0.014623209135606885,0.041915247682482004,0.1704159185755998,0.01356904162093997,0.0001070820726454258,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_middle_t120,1,tuning,middle,120,,90,37,normal,9→49,9,49,768.0,0.27218716708011925,False,888,619,4730,37,8,8,1.0,5,5,5,False,adaptive_disabled,0,145,3783,0,0,0,0.0,{},3.1041912734508514e-05,0.05222788103856146,0.007508994312956929,0.00037866714410483837,0.06056103529408574,0.18692958541214466,0.02422550437040627,6.13329466432333e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_late_t236,1,tuning,late,236,,4,3,danger,35→63,35,63,-999996.0,0.004865791881456971,False,23,6,224,3,3,3,1.0,5,5,5,False,adaptive_disabled,0,10,194,0,0,0,0.0,{},9.874813258647919e-06,0.003690373618155718,0.00023979134857654572,7.69591424614191e-05,0.003894875757396221,0.0005215408746153116,0.0002945424057543278,6.799888797104359e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_few_legal_t121,1,tuning,few_legal,121,,4,2,critical,20→2,20,2,667.0,0.19073470798321068,False,733,522,3949,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,145,3193,0,0,0,0.0,{},7.804203778505325e-05,0.04241696139797568,0.0059902111534029245,6.458302959799767e-05,0.049099498661234975,0.12872491916641593,0.012573540210723877,0.00019412487745285034,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b8,alpha_beta,5,8,,fixed,seed1_early_pruning_t75,1,tuning,early_pruning,75,,66,29,normal,2→56,2,56,787.0,1.000135000096634,True,3622,2596,18107,29,8,5,0.625,5,5,5,False,adaptive_disabled,0,733,14367,0,0,0,0.0,{},1.629185862839222e-05,0.16293750004842877,0.0265083322301507,0.00023145810700953007,0.19372493051923811,0.7475240079220384,0.058574144495651126,6.416719406843185e-05,True,alpha_beta_d5_b8,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_early_t0,0,tuning,early,0,,5000,1686,normal,20→20,20,20,619.0,0.4056926250923425,False,1468,1182,7041,1686,12,12,1.0,5,5,5,False,adaptive_disabled,0,156,5540,0,0,0,0.0,{},0.000942000187933445,0.062341629061847925,0.008198587456718087,0.014449541922658682,0.05710853822529316,0.3065254238899797,0.02656991290859878,9.720795787870884e-05,False,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_middle_t27,0,tuning,middle,27,,2,2,critical,63→63,63,63,827.0,0.09715125011280179,False,367,264,1501,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,40,1129,0,0,0,0.0,{},1.9083963707089424e-05,0.013925658073276281,0.004452328197658062,0.00012779096141457558,0.018518247175961733,0.07130133151076734,0.007087921258062124,9.687524288892746e-05,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_late_t49,0,tuning,late,49,,78,23,normal,11→28,11,28,999995.0,0.2473893330898136,False,1063,542,8233,23,12,12,1.0,5,5,5,False,adaptive_disabled,0,256,7157,0,0,0,0.0,{},1.3707904145121574e-05,0.07656162977218628,0.01098524872213602,0.00023191701620817184,0.0882637903559953,0.14125687372870743,0.01757379388436675,4.9250200390815735e-05,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,,2,2,critical,35→32,35,32,597.0,0.2996502078603953,False,1085,815,6288,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,206,5192,0,0,0,0.0,{},8.333008736371994e-06,0.06024995748884976,0.011001623002812266,7.354188710451126e-05,0.07220621639862657,0.20648500602692366,0.02072040271013975,0.00015670782886445522,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,,44,26,normal,28→59,28,59,797.0,0.9607804589904845,False,2640,1874,16133,26,12,12,1.0,5,5,5,False,adaptive_disabled,0,552,13475,0,0,0,0.0,{},2.0208070054650307e-05,0.16166016994975507,0.02408938924781978,0.00022945809178054333,0.18780963052995503,0.7220978054683656,0.0505589391104877,6.441771984100342e-05,False,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed1_early_t0,1,tuning,early,0,,5000,1678,normal,13→35,13,35,758.5,0.5758149998728186,False,1999,1603,8397,1678,12,12,1.0,5,5,5,False,adaptive_disabled,0,188,6283,0,0,0,0.0,{},0.0009137499146163464,0.08083704370073974,0.014986967900767922,0.017596582882106304,0.0801856133621186,0.4397888716775924,0.03723743185400963,9.275018237531185e-05,True,alpha_beta_d5_b12,True,True,,
alpha_beta_d5_b12,alpha_beta,5,12,,fixed,seed1_middle_t120,1,tuning,middle,120,,90,37,normal,9→61,9,61,768.0,0.8000268340110779,False,3102,2307,15126,37,12,12,1.0,5,5,5,False,adaptive_disabled,0,492,11847,0,0,0,0.0,{},2.3833010345697403e-05,0.13582288497127593,0.021982793230563402,0.000335542019456625,0.1599470896180719,0.5847346230875701,0.054944870295003057,4.0875980630517006e-05,False,alpha_beta_d5_b12,True,True,,
